Sensor,depth,Unix.Timestamp,UTC_Date_._Time,Mountain.Standard.Time,Battery,Temperature,PAR,Acceleration.X,Acceleration.Y,Acceleration.Z
695220,9,1530994020,           2018-07-07 20:07:00,           2018-07-07 14:07:00,3.45,6.505,5.31354,1.129,-0.077,0.259
695220,9,1530995820,           2018-07-07 20:37:00,           2018-07-07 14:37:00,3.45,6.515,1.91633,1.116,-0.073,0.252
695220,9,1530997620,           2018-07-07 21:07:00,           2018-07-07 15:07:00,3.45,6.348,1.27716,1.139,-0.058,0.22
695220,9,1530999420,           2018-07-07 21:37:00,           2018-07-07 15:37:00,3.45,6.319,6.8487,1.136,-0.063,0.238
695220,9,1531001220,           2018-07-07 22:07:00,           2018-07-07 16:07:00,3.45,6.475,0.32279,1.132,-0.049,0.217
695220,9,1531003020,           2018-07-07 22:37:00,           2018-07-07 16:37:00,3.45,6.651,0.58838,1.136,-0.057,0.227
695220,9,1531004820,           2018-07-07 23:07:00,           2018-07-07 17:07:00,3.45,6.436,0.13309,1.139,-0.048,0.225
695220,9,1531006620,           2018-07-07 23:37:00,           2018-07-07 17:37:00,3.45,6.397,2.21694,1.137,-0.04,0.203
695220,9,1531008420,           2018-07-08 00:07:00,           2018-07-07 18:07:00,3.45,6.524,1.24798,1.137,-0.057,0.263
695220,9,1531010220,           2018-07-08 00:37:00,           2018-07-07 18:37:00,3.45,6.515,1.68284,1.129,-0.052,0.223
695220,9,1531012020,           2018-07-08 01:07:00,           2018-07-07 19:07:00,3.45,6.426,2.45334,1.135,-0.063,0.243
695220,9,1531013820,           2018-07-08 01:37:00,           2018-07-07 19:37:00,3.45,6.466,1.05243,1.136,-0.061,0.244
695220,9,1531015620,           2018-07-08 02:07:00,           2018-07-07 20:07:00,3.45,6.554,1.26549,1.127,-0.057,0.231
695220,9,1531017420,           2018-07-08 02:37:00,           2018-07-07 20:37:00,3.45,6.456,1.05535,1.139,-0.064,0.231
695220,9,1531019220,           2018-07-08 03:07:00,           2018-07-07 21:07:00,3.45,6.387,0.13017,1.135,-0.064,0.243
