Date,Year,ungravid,gravid,male,ephippia,neonates,infected,Julian,Month,EXCLUDE,TotalnNeo,TotalAll,fYear,julianall,group,fjulian,uninfected,secview,airtemp,windspd
4/12/10,2010,198,35,0,0,168,0,101,4,NA,233,401,2010,3751,1,3751,233,3,NA,6
4/27/10,2010,738,122,3,36,1176,8,116,4,NA,907,2083,2010,3766,1,3766,899,6.6,13,5
5/12/10,2010,215,37,2,9,455,0,131,5,NA,263,718,2010,3781,1,3781,263,5.7,11,17
5/21/10,2010,26,4,0,1,18,0,140,5,NA,31,49,2010,3790,1,3790,31,NA,NA,NA
6/7/10,2010,6,19,4,1,830,0,157,6,NA,30,860,2010,3807,1,3807,30,4.1,22,3
6/22/10,2010,0,0,0,0,8,0,172,6,NA,0,8,2010,3822,1,3822,0,4.8,37,5
7/8/10,2010,0,0,0,0,0,0,188,7,NA,0,0,2010,3838,1,3838,0,4,36,7
7/19/10,2010,0,0,0,0,0,0,199,7,NA,0,0,2010,3849,1,3849,0,3.4,29,4
8/2/10,2010,0,0,0,0,0,0,213,8,NA,0,0,2010,3863,1,3863,0,2.8,25,7
8/18/10,2010,0,0,0,0,0,0,229,8,NA,0,0,2010,3879,1,3879,0,2.4,22,7
8/31/10,2010,0,0,0,0,0,0,242,8,NA,0,0,2010,3892,1,3892,0,2.2,24,8
9/13/10,2010,0,0,0,0,5,0,255,9,NA,0,5,2010,3905,1,3905,0,1.8,15,20
9/29/10,2010,0,3,0,0,12,0,271,9,NA,3,15,2010,3921,1,3921,3,2.3,14,8
10/14/10,2010,5,1,0,0,2,0,286,10,NA,6,8,2010,3936,1,3936,6,NA,NA,NA
10/28/10,2010,3,3,0,0,38,0,300,10,NA,6,44,2010,3950,1,3950,6,3.3,4,20
11/10/10,2010,21,4,0,0,12,0,313,11,NA,25,37,2010,3963,1,3963,25,4,8,6
1/19/11,2011,288,0,0,0,24,4,18,1,NA,292,316,2011,4033,1,4033,288,NA,-10,6
2/15/11,2011,68,12,0,0,4,3,45,2,NA,83,87,2011,4060,1,4060,80,NA,3,6
3/16/11,2011,287,51,0,0,42,11,74,3,NA,349,391,2011,4089,1,4089,338,NA,10,6
5/2/11,2011,46,4,0,0,99,0,121,5,NA,50,149,2011,4136,1,4136,50,NA,0,7
5/17/11,2011,201,33,0,0,294,0,136,5,NA,234,528,2011,4151,1,4151,234,2.7,18,7
5/31/11,2011,462,69,5,14,519,2,150,5,NA,552,1071,2011,4165,1,4165,550,1.9,22,22
6/13/11,2011,423,256,4,75,325,224,163,6,NA,982,1307,2011,4178,1,4178,758,4.7,21,5
6/27/11,2011,180,1,0,0,204,0,177,6,NA,181,385,2011,4192,1,4192,181,3.6,21,8
7/12/11,2011,0,0,0,0,0,0,192,7,NA,0,0,2011,4207,1,4207,0,3.4,22,9
7/25/11,2011,0,0,0,0,0,0,205,7,NA,0,0,2011,4220,1,4220,0,3.3,25,8
8/8/11,2011,1,0,0,0,0,0,219,8,NA,1,1,2011,4234,1,4234,1,2.6,30,2
8/22/11,2011,0,0,0,0,0,0,233,8,NA,0,0,2011,4248,1,4248,0,2.6,23,5
9/7/11,2011,4,23,0,0,6,0,249,9,NA,27,33,2011,4264,1,4264,27,2.3,19,5
9/19/11,2011,3,3,0,0,0,0,261,9,NA,6,6,2011,4276,1,4276,6,2.1,15,8
10/5/11,2011,71,45,0,0,28,0,277,10,NA,116,144,2011,4292,1,4292,116,2.6,19.5,2
10/17/11,2011,44,12,0,0,21,1,289,10,NA,57,78,2011,4304,1,4304,56,2.6,9.5,9
10/31/11,2011,5,0,10,0,0,0,303,10,NA,15,15,2011,4318,1,4318,15,2.6,7.5,6
11/11/11,2011,656,10,0,0,88,0,314,11,NA,666,754,2011,4329,1,4329,666,2.5,3,5
1/16/12,2012,180,1,1,0,3,22,15,1,NA,204,207,2012,4395,1,4395,182,NA,-2,8
2/23/12,2012,158,10,0,0,49,0,53,2,NA,168,217,2012,4433,1,4433,168,NA,7,0
4/3/12,2012,13,12,0,0,14,0,93,4,NA,25,39,2012,4473,1,4473,25,3.1,15,5
4/16/12,2012,38,6,0,0,164,0,106,4,NA,44,208,2012,4486,1,4486,44,1.6,1,12
4/30/12,2012,223,58,0,0,724,1,120,4,NA,282,1006,2012,4500,1,4500,281,3.3,NA,2
5/14/12,2012,1048,9,2,13,441,0,134,5,NA,1072,1513,2012,4514,1,4514,1072,4.8,26,6
5/29/12,2012,292,39,4,2,510,0,149,5,NA,337,847,2012,4529,1,4529,337,5.3,15,9
6/11/12,2012,26,15,0,0,506,0,162,6,NA,41,547,2012,4542,1,4542,41,5.4,26,8
6/26/12,2012,1,0,0,0,2,0,177,6,NA,1,3,2012,4557,1,4557,1,3,30,5
7/10/12,2012,0,0,0,0,0,0,191,7,NA,0,0,2012,4571,1,4571,0,3.7,31,0
7/25/12,2012,0,0,0,0,255,0,206,7,NA,0,255,2012,4586,1,4586,0,3.2,20,4
8/6/12,2012,0,0,0,0,0,0,218,8,NA,0,0,2012,4598,1,4598,0,2.1,29,14
8/20/12,2012,0,0,0,0,0,0,232,8,NA,0,0,2012,4612,1,4612,0,1.6,22,7
9/4/12,2012,0,0,0,0,0,0,247,9,NA,0,0,2012,4627,1,4627,0,1.3,38,8
9/19/12,2012,0,1,0,1,12,0,262,9,NA,2,14,2012,4642,1,4642,2,1.3,12.5,6
10/1/12,2012,2,1,0,0,0,0,274,10,NA,3,3,2012,4654,1,4654,3,3.2,17,8
10/18/12,2012,15,0,1,0,8,0,291,10,NA,16,24,2012,4671,1,4671,16,3.2,12.5,0
11/1/12,2012,7,1,0,0,9,0,305,11,NA,8,17,2012,4685,1,4685,8,3.8,3.5,9
11/9/12,2012,64,11,0,0,35,0,313,11,NA,75,110,2012,4693,1,4693,75,4.2,4.5,6
1/25/13,2013,21,0,0,0,10,0,24,1,NA,21,31,2013,4769,1,4769,21,NA,-6,8
2/25/13,2013,359,62,0,0,40,1,55,2,NA,422,462,2013,4800,1,4800,421,NA,3,3
3/27/13,2013,97,29,0,0,137,0,85,3,NA,126,263,2013,4830,1,4830,126,NA,1,8
5/14/13,2013,30,6,0,0,14,0,133,5,NA,36,50,2013,4878,1,4878,36,2.6,21,6
5/28/13,2013,16,12,0,0,251,0,147,5,NA,28,279,2013,4892,1,4892,28,NA,NA,NA
6/10/13,2013,602,12,3,69,5,7,160,6,NA,693,698,2013,4905,1,4905,686,4.2,25,2
6/26/13,2013,246,111,2,19,57,35,176,6,NA,413,470,2013,4921,1,4921,378,4.2,29,10
7/11/13,2013,17,5,1,1,687,0,191,7,NA,24,711,2013,4936,1,4936,24,3.8,32,0
7/22/13,2013,7,1,0,0,3,0,202,7,NA,8,11,2013,4947,1,4947,8,NA,NA,NA
8/7/13,2013,0,0,0,0,0,0,218,8,NA,0,0,2013,4963,1,4963,0,3.4,20,5
8/19/13,2013,0,0,0,0,0,0,230,8,NA,0,0,2013,4975,1,4975,0,4.2,21,6
9/3/13,2013,0,0,0,0,6,0,245,9,NA,0,6,2013,4990,1,4990,0,2.1,21,9
10/1/13,2013,0,0,0,0,0,0,273,10,NA,0,0,2013,5018,1,5018,0,3.1,18,8
10/14/13,2013,0,0,0,0,0,0,286,10,NA,0,0,2013,5031,1,5031,0,NA,NA,NA
10/30/13,2013,0,0,0,0,4,0,302,10,NA,0,4,2013,5047,1,5047,0,3.1,7,4
1/17/14,2014,251,36,3,0,71,0,16,1,NA,290,361,2014,5126,1,5126,290,NA,-6,9
3/8/14,2014,52,3,0,0,27,0,66,3,NA,55,82,2014,5176,1,5176,55,NA,NA,NA
3/27/14,2014,70,7,0,0,21,0,85,3,NA,77,98,2014,5195,1,5195,77,NA,2,0
5/20/14,2014,61,5,0,0,36,0,139,5,NA,66,102,2014,5249,1,5249,66,1.6,19,3
6/2/14,2014,828,87,0,4,59,0,152,6,NA,919,978,2014,5262,1,5262,919,2.5,19,5
6/17/14,2014,781,23,17,28,458,0,167,6,NA,849,1307,2014,5277,1,5277,849,5.7,27,4
7/2/14,2014,1079,171,0,4,113,12,182,7,NA,1266,1379,2014,5292,1,5292,1254,4.2,15,4
7/14/14,2014,180,12,3,0,221,2,194,7,NA,197,418,2014,5304,1,5304,195,3.4,15,4
7/30/14,2014,206,67,7,0,33,0,210,7,NA,280,313,2014,5320,1,5320,280,4.2,26,7
8/12/14,2014,56,13,0,0,27,0,223,8,NA,69,96,2014,5333,1,5333,69,4.8,18,6
8/26/14,2014,52,13,0,0,15,0,237,8,NA,65,80,2014,5347,1,5347,65,4.4,27,8
9/8/14,2014,46,32,0,0,21,0,250,9,NA,78,99,2014,5360,1,5360,78,3.4,18,0
9/24/14,2014,180,171,3,0,35,1,266,9,NA,355,390,2014,5376,1,5376,354,2.3,21,7
10/6/14,2014,222,15,0,0,33,3,278,10,NA,240,273,2014,5388,1,5388,237,2.9,9,10
10/21/14,2014,1376,62,2,0,104,1,293,10,NA,1441,1545,2014,5403,1,5403,1440,2.8,11,4
11/3/14,2014,1336,4,0,0,913,3,306,11,NA,1343,2256,2014,5416,1,5416,1340,2.7,11,6
