sensor,deployment,year,timestamp,depth,temperature
102495,Summer2018,2018,2018-07-08 04:00:00,0.4,9.373
102495,Summer2018,2018,2018-07-08 04:30:00,0.4,9.329
102495,Summer2018,2018,2018-07-08 05:00:00,0.4,9.31
102495,Summer2018,2018,2018-07-08 05:30:00,0.4,9.261
102495,Summer2018,2018,2018-07-08 06:00:00,0.4,9.255
102495,Summer2018,2018,2018-07-08 06:30:00,0.4,9.182
102495,Summer2018,2018,2018-07-08 07:00:00,0.4,9.105
102495,Summer2018,2018,2018-07-08 07:30:00,0.4,9.12
102495,Summer2018,2018,2018-07-08 08:00:00,0.4,9.134
102495,Summer2018,2018,2018-07-08 08:30:00,0.4,9.149
102495,Summer2018,2018,2018-07-08 09:00:00,0.4,9.222
102495,Summer2018,2018,2018-07-08 09:30:00,0.4,9.271
102495,Summer2018,2018,2018-07-08 10:00:00,0.4,9.327
102495,Summer2018,2018,2018-07-08 10:30:00,0.4,9.656
102495,Summer2018,2018,2018-07-08 11:00:00,0.4,9.684
102495,Summer2018,2018,2018-07-08 11:30:00,0.4,9.713
102495,Summer2018,2018,2018-07-08 12:00:00,0.4,9.718
102495,Summer2018,2018,2018-07-08 12:30:00,0.4,9.724
102495,Summer2018,2018,2018-07-08 13:00:00,0.4,9.994
102495,Summer2018,2018,2018-07-08 13:30:00,0.4,10.022
102495,Summer2018,2018,2018-07-08 14:00:00,0.4,10.099
102495,Summer2018,2018,2018-07-08 14:30:00,0.4,10.232
102495,Summer2018,2018,2018-07-08 15:00:00,0.4,10.315
102495,Summer2018,2018,2018-07-08 15:30:00,0.4,10.282
102495,Summer2018,2018,2018-07-08 16:00:00,0.4,10.293
102495,Summer2018,2018,2018-07-08 16:30:00,0.4,10.234
102495,Summer2018,2018,2018-07-08 17:00:00,0.4,10.293
102495,Summer2018,2018,2018-07-08 17:30:00,0.4,10.408
102495,Summer2018,2018,2018-07-08 18:00:00,0.4,10.38
102495,Summer2018,2018,2018-07-08 18:30:00,0.4,10.37
102495,Summer2018,2018,2018-07-08 19:00:00,0.4,10.341
102495,Summer2018,2018,2018-07-08 19:30:00,0.4,10.307
102495,Summer2018,2018,2018-07-08 20:00:00,0.4,10.255
102495,Summer2018,2018,2018-07-08 20:30:00,0.4,10.199
102495,Summer2018,2018,2018-07-08 21:00:00,0.4,10.215
102495,Summer2018,2018,2018-07-08 21:30:00,0.4,10.299
102495,Summer2018,2018,2018-07-08 22:00:00,0.4,10.394
102495,Summer2018,2018,2018-07-08 22:30:00,0.4,10.47
102495,Summer2018,2018,2018-07-08 23:00:00,0.4,10.401
102495,Summer2018,2018,2018-07-08 23:30:00,0.4,10.355
102495,Summer2018,2018,2018-07-09 00:00:00,0.4,10.372
102495,Summer2018,2018,2018-07-09 00:30:00,0.4,10.341
102495,Summer2018,2018,2018-07-09 01:00:00,0.4,10.311
102495,Summer2018,2018,2018-07-09 01:30:00,0.4,10.24
102495,Summer2018,2018,2018-07-09 02:00:00,0.4,10.147
102495,Summer2018,2018,2018-07-09 02:30:00,0.4,10.09
102495,Summer2018,2018,2018-07-09 03:00:00,0.4,10.054
102495,Summer2018,2018,2018-07-09 03:30:00,0.4,10.023
102495,Summer2018,2018,2018-07-09 04:00:00,0.4,9.98
102495,Summer2018,2018,2018-07-09 04:30:00,0.4,9.953
102495,Summer2018,2018,2018-07-09 05:00:00,0.4,9.943
102495,Summer2018,2018,2018-07-09 05:30:00,0.4,9.912
102495,Summer2018,2018,2018-07-09 06:00:00,0.4,9.849
102495,Summer2018,2018,2018-07-09 06:30:00,0.4,9.743
102495,Summer2018,2018,2018-07-09 07:00:00,0.4,9.719
102495,Summer2018,2018,2018-07-09 07:30:00,0.4,9.756
102495,Summer2018,2018,2018-07-09 08:00:00,0.4,9.792
102495,Summer2018,2018,2018-07-09 08:30:00,0.4,9.844
102495,Summer2018,2018,2018-07-09 09:00:00,0.4,9.879
102495,Summer2018,2018,2018-07-09 09:30:00,0.4,9.888
102495,Summer2018,2018,2018-07-09 10:00:00,0.4,9.908
102495,Summer2018,2018,2018-07-09 10:30:00,0.4,9.909
102495,Summer2018,2018,2018-07-09 11:00:00,0.4,10.043
102495,Summer2018,2018,2018-07-09 11:30:00,0.4,10.15
102495,Summer2018,2018,2018-07-09 12:00:00,0.4,10.29
102495,Summer2018,2018,2018-07-09 12:30:00,0.4,10.383
102495,Summer2018,2018,2018-07-09 13:00:00,0.4,10.46
102495,Summer2018,2018,2018-07-09 13:30:00,0.4,10.573
102495,Summer2018,2018,2018-07-09 14:00:00,0.4,10.688
102495,Summer2018,2018,2018-07-09 14:30:00,0.4,10.921
102495,Summer2018,2018,2018-07-09 15:00:00,0.4,11.026
102495,Summer2018,2018,2018-07-09 15:30:00,0.4,11.446
102495,Summer2018,2018,2018-07-09 16:00:00,0.4,11.462
102495,Summer2018,2018,2018-07-09 16:30:00,0.4,11.397
102495,Summer2018,2018,2018-07-09 17:00:00,0.4,11.589
102495,Summer2018,2018,2018-07-09 17:30:00,0.4,11.789
102495,Summer2018,2018,2018-07-09 18:00:00,0.4,11.698
102495,Summer2018,2018,2018-07-09 18:30:00,0.4,11.89
102495,Summer2018,2018,2018-07-09 19:00:00,0.4,11.84
102495,Summer2018,2018,2018-07-09 19:30:00,0.4,11.785
102495,Summer2018,2018,2018-07-09 20:00:00,0.4,12.338
102495,Summer2018,2018,2018-07-09 20:30:00,0.4,11.686
102495,Summer2018,2018,2018-07-09 21:00:00,0.4,11.654
102495,Summer2018,2018,2018-07-09 21:30:00,0.4,12.022
102495,Summer2018,2018,2018-07-09 22:00:00,0.4,11.876
102495,Summer2018,2018,2018-07-09 22:30:00,0.4,11.773
102495,Summer2018,2018,2018-07-09 23:00:00,0.4,11.483
102495,Summer2018,2018,2018-07-09 23:30:00,0.4,11.62
102495,Summer2018,2018,2018-07-10 00:00:00,0.4,11.674
102495,Summer2018,2018,2018-07-10 00:30:00,0.4,11.627
