"","Sensor","deployment","year","timestamp","depth","Temperature","PAR","Acceleration.X","Acceleration.Y","Acceleration.Z","tilt","Battery","flag_Y","flag_Z","flag_X","flag_T"
"206",695220,"Summer2018",2018,2018-07-07 18:37:00,9,6.515,1.68284,1.129,-0.052,0.223,-1.52477039577894,3.45,"n","n","n","n"
"207",695220,"Summer2018",2018,2018-07-07 19:07:00,9,6.426,2.45334,1.135,-0.063,0.243,-1.51534661869939,3.45,"n","n","n","n"
"208",695220,"Summer2018",2018,2018-07-07 19:37:00,9,6.466,1.05243,1.136,-0.061,0.244,-1.51715066452129,3.45,"n","n","n","n"
"209",695220,"Summer2018",2018,2018-07-07 20:07:00,9,6.554,1.26549,1.127,-0.057,0.231,-1.52026263353055,3.45,"n","n","n","n"
"210",695220,"Summer2018",2018,2018-07-07 20:37:00,9,6.456,1.05535,1.139,-0.064,0.231,-1.51466571038179,3.45,"n","n","n","n"
"211",695220,"Summer2018",2018,2018-07-07 21:07:00,9,6.387,0.13017,1.135,-0.064,0.243,-1.51446831066303,3.45,"n","n","n","n"
"214",695220,"Summer2018",2018,2018-07-07 22:37:00,9,6.417,0.49207,1.143,-0.064,0.231,-1.51486173280853,3.45,"n","n","n","n"
"217",695220,"Summer2018",2018,2018-07-08 00:07:00,9,6.563,0.73723,1.143,-0.049,0.211,-1.52795291860937,3.45,"n","n","n","n"
"218",695220,"Summer2018",2018,2018-07-08 00:37:00,9,6.456,0.08639,1.144,-0.048,0.196,-1.5288628809215,3.45,"n","n","n","n"
"219",695220,"Summer2018",2018,2018-07-08 01:07:00,9,6.505,0.70804,1.132,-0.043,0.211,-1.53282871553358,3.45,"n","n","n","n"
"220",695220,"Summer2018",2018,2018-07-08 01:37:00,9,6.612,0.49791,1.144,-0.048,0.207,-1.5288628809215,3.45,"n","n","n","n"
"228",695220,"Summer2018",2018,2018-07-08 05:37:00,9,6.456,2.10895,1.103,-0.049,0.192,-1.52640121892136,3.45,"n","n","o","n"
"229",695220,"Summer2018",2018,2018-07-08 06:07:00,9,6.515,1.2363,1.12,-0.063,0.24,-1.51460554059366,3.45,"n","n","n","n"
"231",695220,"Summer2018",2018,2018-07-08 07:07:00,9,6.612,0.94445,1.107,-0.058,0.044,-1.51845033312319,3.45,"n","o","o","n"
"232",695220,"Summer2018",2018,2018-07-08 07:37:00,9,6.426,3.971,1.111,-0.049,0.177,-1.52672048030904,3.45,"n","n","o","n"
"233",695220,"Summer2018",2018,2018-07-08 08:07:00,9,6.436,5.54994,1.136,-0.04,0.179,-1.5355996004084,3.45,"n","n","n","n"
"234",695220,"Summer2018",2018,2018-07-08 08:37:00,9,6.456,9.5834,1.159,-0.039,0.172,-1.53715932069993,3.45,"n","n","o","n"
"235",695220,"Summer2018",2018,2018-07-08 09:07:00,9,6.475,9.8519,1.136,-0.049,0.287,-1.52768924466101,3.45,"n","n","n","n"
"236",695220,"Summer2018",2018,2018-07-08 09:37:00,9,6.515,14.79595,1.136,-0.039,0.224,-1.53647881903923,3.45,"n","n","n","n"
